"Country","Squad","W","D","L","Poss","Touches_Touches","Succ_Take","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Dis_Carries","PrgR_Receiving","xG_Expected"
"ENG","Arsenal",22,3,13,52.8,23780,319,39388,734,494,223,337,1642,60.5
"ENG","Aston Villa",13,6,19,46.5,20609,333,31674,653,422,166,344,1293,44
"ENG","Brentford",13,7,18,44.8,20462,262,26085,450,332,102,291,1170,45.8
"ENG","Brighton",12,15,11,54.4,24854,317,35095,676,519,139,349,1529,46.2
"ENG","Burnley",7,14,17,40.2,18371,258,19061,388,300,84,291,958,39.7
"ENG","Chelsea",21,11,6,61.8,28975,364,46504,894,729,243,383,1956,63.4
"ENG","Crystal Palace",11,15,12,51.1,23466,382,33176,592,410,149,471,1214,46.4
"ENG","Everton",11,6,21,40,19075,337,25599,512,388,143,325,1086,41.2
"ENG","Leeds United",9,11,18,52.3,22705,339,36354,671,412,170,298,1467,44.4
"ENG","Leicester City",14,10,14,52,24409,297,34763,622,467,157,368,1351,47.8
"ENG","Liverpool",28,8,2,62.7,29575,343,45325,885,672,290,366,2227,88.7
"ENG","Manchester City",29,6,3,67.9,31381,425,61200,1145,840,386,316,2402,88.7
"ENG","Manchester Utd",16,10,12,52.7,24652,368,41495,784,587,213,333,1562,55.8
"ENG","Newcastle Utd",13,10,15,40.4,18281,359,23964,544,397,163,359,911,38.1
"ENG","Norwich City",5,7,26,42.9,20234,298,30074,566,356,126,313,1018,32.3
"ENG","Southampton",9,13,16,47.7,21418,350,31425,728,561,197,366,1314,44.8
"ENG","Tottenham",22,5,11,51.8,24853,375,42338,791,596,195,341,1450,61.2
"ENG","Watford",6,5,27,40.7,19161,395,24863,557,380,148,389,1057,40
"ENG","West Ham",16,8,14,47.9,22331,306,32664,646,479,171,294,1437,51.4
"ENG","Wolves",15,6,17,49.5,23334,450,36188,723,522,190,341,1262,37.5
"ESP","Alavés",8,7,23,42,18371,271,20539,420,310,102,278,969,37.3
"ESP","Athletic Club",14,13,11,48.1,21254,297,30509,653,461,146,341,1559,49.6
"ESP","Atlético Madrid",21,8,9,50.6,23038,383,34800,705,531,164,353,1456,54.4
"ESP","Barcelona",21,10,7,64.2,28778,474,52508,961,704,280,358,2059,63.4
"ESP","Betis",19,8,11,53.7,23691,372,33876,666,482,187,364,1501,53.5
"ESP","Celta Vigo",12,10,16,55.2,24789,346,38568,665,544,125,310,1434,43.1
"ESP","Cádiz",8,15,15,41.3,18574,281,26751,571,382,106,291,1063,39.5
